!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
Accoules Sax	Saturday July 1, 2006 at 12 p.m.	Terrasse Amarula Stage	
Accoules Sax	Sunday July 2, 2006 at 1 p.m.	Terrasse Amarula Stage	
Accoules Sax	Sunday July 2, 2006 at 4 p.m.	Alcan Stage	
Accoules Sax	Monday July 3, 2006 at 4 p.m.	Alcan Stage	
Accoules Sax	Monday July 3, 2006 at 7 p.m.	Terrasse Amarula Stage	
Accoules Sax	Tuesday July 4, 2006 at 5 p.m.	Best Buy / CBC Stage	
Accoules Sax	Tuesday July 4, 2006 at 6:15 p.m.	Best Buy / CBC Stage	
Aces of Dixieland	Thursday June 26, 1997 at 12 p.m.	Terrasse SAQ Sélection	Aces of Dixieland 
Aces of Dixieland	Friday June 27, 1997 at 1 p.m.	Terrasse Nescafe	
Aces of Dixieland	Friday June 27, 1997 at 3 p.m.	Terrasse de l'Esplanade	
Aces of Dixieland	Saturday June 28, 1997 at 2 p.m.	Terrasse Nescafe	
Aces of Dixieland	Sunday June 29, 1997 at 5 p.m.	Terrasse de l'Esplanade	
Aces of Dixieland	Monday June 30, 1997 at 5 p.m.	Terrasse SAQ Sélection	
Aces of Dixieland	Wednesday July 1, 1998 at 1 p.m.	Terrasse SAQ Sélection 	Aces of Dixieland 
Aces of Dixieland	Wednesday July 1, 1998 at 3 p.m.	Terrasse du Casino de Montréal 	
Aces of Dixieland	Thursday July 2, 1998 at 8 p.m.	Scène Tropicana / Radio-Canada	
Aces of Dixieland	Thursday July 2, 1998 at 10 p.m.	Scène Tropicana / Radio-Canada	
Aces of Dixieland	Friday July 3, 1998 at 12 p.m.	Terrasse SAQ Sélection 	
Aces of Dixieland	Friday July 3, 1998 at 2 p.m.	Terrasse Nescafé 	
Aces of Dixieland	Monday July 6, 1998 at 12 p.m.	Terrasse SAQ Sélection 	
Aces of Dixieland	Monday July 6, 1998 at 2 p.m.	Terrasse Nescafé 	
Aces of Dixieland	Wednesday July 7, 1999 at 2 p.m.	Scène Air Transat  - Radio-Canada 	Aces of Dixieland 
Aces of Dixieland	Wednesday July 7, 1999 at 5 p.m.	Terrasse Grand Marnier 	
Aces of Dixieland	Thursday July 8, 1999 at 12 p.m.	Terrasse Grand Marnier 	
Aces of Dixieland	Thursday July 8, 1999 at 3 p.m.	Chapiteau du Casino de Montréal	
Aces of Dixieland	Friday July 9, 1999 at 1 p.m.	Chapiteau du Casino de Montréal	
Aces of Dixieland	Friday July 9, 1999 at 3 p.m.	Terrasse Grand Marnier 	
Aces of Dixieland	Saturday July 10, 1999 at 1 p.m.	Terrasse Grand Marnier 	
Aces of Dixieland	Saturday July 10, 1999 at 5 p.m.	Chapiteau du Casino de Montréal	
Aces of Dixieland	Sunday July 11, 1999 at 2 p.m.	Scène Air Transat  - Radio-Canada 	
Aces of Dixieland	Sunday July 11, 1999 at 5 p.m.	Terrasse Grand Marnier 	
Aces of Dixieland	Wednesday July 5, 2000 at 2 p.m.	Air Transat-Radio-Canada Stage	Aces of Dixieland 
Aces of Dixieland	Wednesday July 5, 2000 at 5 p.m.	Terrasse du Casino de Montréal 	
Aces of Dixieland	Thursday July 6, 2000 at 12 p.m.	Terrasse Grand Marnier 	
Aces of Dixieland	Thursday July 6, 2000 at 3 p.m.	Terrasse du Casino de Montréal 	
Aces of Dixieland	Friday July 7, 2000 at 1 p.m.	Terrasse Grand Marnier 	
Aces of Dixieland	Saturday July 8, 2000 at 5 p.m.	Terrasse Grand Marnier 	
