!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
John Patitucci	Saturday July 3, 2004 at 7:30 p.m.	Monument National	Chick Corea Electrik Band
John Patitucci	Saturday July 1, 2006 at 6 p.m.	Théâtre Maisonneuve - PdA	Wayne Shorter Quartet avec Brian Blade, John Patitucci et Danilo Pérez
John Patitucci	Friday June 29, 2007 at 6 p.m.	Théâtre Maisonneuve - PdA	Wayne Shorter Quartet
John Patitucci	Friday June 29, 2007 at 6 p.m.	Théâtre Maisonneuve - PdA	
John Patitucci	Saturday June 30, 2007 at 7:30 p.m.	Théâtre Jean-Duceppe - PdA	Mike Stern's Invitation Supergroup with Danilo Perez, John Patitucci, Dave Weckl
John Patitucci	Friday July 3, 2009 at 9:30 p.m.	Théâtre Maisonneuve - PdA 	Wayne Shorter Quartet
John Patton	Wednesday July 6, 1988 at 8:30 p.m.	Scène Alcan	Mike Gauthier Trio 
John Pizzarelli	Thursday July 2, 1992 at 8 p.m.	Club Soda	John Pizzarelli with Orchestra
John Pizzarelli	Friday July 3, 1992 at 8 p.m.	Club Soda	
John Pizzarelli	Saturday July 4, 1992 at 8 p.m.	Club Soda	
John Pizzarelli	Sunday July 5, 1992 at 8 p.m.	Club Soda	
John Pizzarelli	Monday July 6, 1992 at 8 p.m.	Club Soda	
John Pizzarelli	Wednesday July 8, 1992 at 8 p.m.	Club Soda	
John Pizzarelli	Thursday July 9, 1992 at 8 p.m.	Club Soda	
John Pizzarelli	Friday July 10, 1992 at 8 p.m.	Club Soda	
John Pizzarelli	Saturday July 11, 1992 at 8 p.m.	Club Soda	
John Pizzarelli	Monday July 5, 1993 at 6 p.m.	Théâtre Maisonneuve	Dee Dee Brigewater et ses musiciens / John Pizzarelli and Orchestra
John Pizzarelli	Thursday June 30, 1994 at 8:30 p.m.	Salle Wilfrid-Pelletier	Une soirée avec le Holly Cole Trio 
John Pizzarelli	Saturday July 2, 1994 at 6 p.m.	Spectrum de Montréal	Le guitariste-chanteur John Pizzarelli en trio
John Pizzarelli	Thursday July 4, 1996 at 6 p.m.	Théâtre Maisonneuve, PdA	John Pizzarelli Trio and the Big band
John Pizzarelli	Friday July 10, 1998 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	John Pizzarelli « Sings the Beatles » avec son trio, big band et grand orchestre 
John Pizzarelli	Thursday June 29, 2000 at 8 p.m.	Club Soda	John Pizzarelli Trio, featuring Ray Kennedy and Martin Pizzareli
John Pizzarelli	Friday June 30, 2000 at 8 p.m.	Club Soda	
John Pizzarelli	Saturday July 1, 2000 at 8 p.m.	Club Soda	
John Pizzarelli	Saturday July 6, 2002 at 6 p.m.	Théâtre Maisonneuve - PdA	John Pizzarelli Trio with Jessica Malaskey and the Swing Seven
John Pizzarelli	Wednesday July 7, 2004 at 6 p.m.	Théâtre Maisonneuve - PdA	John Pizzarelli Bossa Project
John Pizzarelli	Thursday June 29, 2006 at 8 p.m.	Salle Wilfrid Pelletier - PdA	The John Pizzarelli Big Band: Dear Mr. Sinatra
John Pizzarelli	Friday June 30, 2006 at 8 p.m.	Salle Wilfrid Pelletier - PdA	
John Pizzarelli	Saturday July 11, 2009 at 6 p.m.	Théâtre Maisonneuve - PdA 	John Pizzarelli
John Pizzarelli	Saturday November 28, 2009 at 8 p.m.	Shawinigan - Centre des arts de Shawinigan, Salle Philippe-Filion	A Special Evening with Coral Egan and John Pizzarelli Quartet
John Pizzarelli	Sunday November 29, 2009 at 8 p.m.	Salaberry-de-Valleyfield - Salle Albert-Dumouchel	
John Pizzarelli	Tuesday December 1, 2009 at 8 p.m.	Sherbrooke - Salle Maurice-O’Bready	
John Pizzarelli	Wednesday December 2, 2009 at 8 p.m.	L’Asomption - Théâtre Hector-Charland	
John Pizzarelli	Thursday December 3, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
John Pizzarelli	Friday December 4, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
John Pizzarelli	Sunday December 6, 2009 at 3:30 p.m.	Saint-Jean-sur-Richelieu - Théâtre des Deux Rives	
John Pizzarelli	Thursday December 10, 2009 at 8 p.m.	Saint-Hyacinthe - Centre des arts Juliette-Lassonde	
John Pizzarelli	Friday December 11, 2009 at 8 p.m.	Beloeil - Centre Culturel de Beloeil	
John Pizzarelli	Saturday December 12, 2009 at 8 p.m.	Montmagny - Salle Edwin-Bélanger	
John Pizzarelli	Sunday December 13, 2009 at 8 p.m.	Québec - Grand Théâtre de Québec	
John Reissner	Saturday July 8, 1989 at 7 p.m.	Scène Labatt Blues	John Reissner
John Reissner	Saturday July 8, 1989 at 11 p.m.	Club Soda	
John Reissner	Thursday July 9, 1992 at 8 p.m.	Scène Labatt	John Reissner 
John Reissner	Thursday July 9, 1992 at 11:30 p.m.	Le Grand Café	
John Roney	Thursday July 3, 2003 at 12 p.m.	Place du Complexe Desjardins	John Roney 
John Roney	Saturday July 3, 2004 at 8 p.m.	Festival Stage	Chet Doxas Quartet
John Roney	Saturday July 3, 2004 at 10 p.m.	Festival Stage	
John Roney	Thursday June 29, 2006 at 11 p.m.	Hyatt Hotel	John Roney 
John Roney	Friday June 30, 2006 at 11 p.m.	Hyatt Hotel	
John Roney	Saturday July 1, 2006 at 11 p.m.	Hyatt Hotel	
John Roney	Sunday July 2, 2006 at 11 p.m.	Hyatt Hotel	
John Roney	Monday July 3, 2006 at 11 p.m.	Hyatt Hotel	
John Roney	Tuesday July 4, 2006 at 11 p.m.	Hyatt Hotel	
John Roney	Wednesday July 5, 2006 at 11 p.m.	Hyatt Hotel	
John Roney	Thursday July 6, 2006 at 11 p.m.	Hyatt Hotel	
John Roney	Friday July 7, 2006 at 11 p.m.	Hyatt Hotel	
John Roney	Saturday July 8, 2006 at 11 p.m.	Hyatt Hotel	
John Roney	Thursday June 28, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	John Roney Trio
John Roney	Friday June 29, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	
John Roney	Saturday June 30, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	
John Roney	Sunday July 1, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	
John Roney	Monday July 2, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	
John Roney	Tuesday July 3, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	
John Roney	Wednesday July 4, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	
John Roney	Thursday July 5, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	
John Roney	Friday July 6, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	
John Roney	Saturday July 7, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	
John Roney	Sunday July 8, 2007 at 11 p.m.	Hyatt Regency Montréal- Salon Jeanne-Mance	
John Roney	Thursday June 26, 2008 at 11 p.m.	Salon Jeanne-Mance	John Roney Trio
John Roney	Friday June 27, 2008 at 11 p.m.	Salon Jeanne-Mance	
John Roney	Saturday June 28, 2008 at 11 p.m.	Salon Jeanne-Mance	
John Roney	Sunday June 29, 2008 at 11 p.m.	Salon Jeanne-Mance	
John Roney	Monday June 30, 2008 at 11 p.m.	Salon Jeanne-Mance	
John Roney	Tuesday July 1, 2008 at 11 p.m.	Salon Jeanne-Mance	
John Roney	Wednesday July 2, 2008 at 11 p.m.	Salon Jeanne-Mance	
John Roney	Thursday July 3, 2008 at 11 p.m.	Salon Jeanne-Mance	
John Roney	Friday July 4, 2008 at 11 p.m.	Salon Jeanne-Mance	
John Roney	Saturday July 5, 2008 at 11 p.m.	Salon Jeanne-Mance	
John Roney	Wednesday July 1, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	John Roney / Jim Doxas Trio
John Roney	Thursday July 2, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Friday July 3, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Saturday July 4, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Sunday July 5, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Monday July 6, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Tuesday July 7, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Wednesday July 8, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Thursday July 9, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Friday July 10, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Saturday July 11, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Sunday July 12, 2009 at 11 p.m.	Bistro Le Balmoral - (Maison du Festival Rio Tinto Alcan)	
John Roney	Thursday August 5, 2010 at 6 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan) 	John Roney
John Roney	Thursday August 5, 2010 at 8 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan) 	
John Roney	Friday August 6, 2010 at 6 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan) 	
John Roney	Friday August 6, 2010 at 8 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan) 	
John Roney	Saturday August 7, 2010 at 6 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan) 	
John Roney	Saturday August 7, 2010 at 8 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan) 	
John Roney	Saturday June 25, 2011 at 8 p.m.	Scène CBC/Radio-Canada	John Roney
John Roney	Saturday September 17, 2011 at 9 p.m.	Le Balmoral (Maison du Festival Rio Tinto Alcan)	John Roney 
John Scofield	Tuesday June 30, 1987 at 7 p.m.	Spectrum de Montréal	The John Scofield
John Scofield	Saturday July 1, 1989 at 6 p.m.	Théâtre St-Denis	John Scolfield Trio / Bill Frisell Quartet 
John Scofield	Saturday July 1, 1989 at 11 p.m.	UQAM / Salle Marie-Gérin-Lajoie	Bass Desires
John Scofield	Thursday July 2, 1992 at 6 p.m.	Spectrum de Montréal	John Scofield
John Scofield	Thursday July 2, 1992 at 10:30 p.m.	Cinquième Salle PDA/MACM	Paul Bley /  John Scofield
John Scofield	Thursday July 6, 1995 at 6 p.m.	Spectrum de Montréal	John Scofiels Quartet 
John Scofield	Saturday July 8, 1995 at 2 p.m.	Café des artistes 	Workshop hosted by François Marcaurelle - Guest: John Scofield
John Scofield	Saturday July 8, 1995 at 6 p.m.	Théâtre Maisonneuve 	
John Scofield	Friday June 27, 1997 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	Herbie Hancock's New Standards 
John Scofield	Wednesday July 1, 1998 at 6:30 p.m.	Théâtre du Nouveau Monde 	John Scofield et Charlie Haden 
John Scofield	Thursday July 2, 1998 at 7:30 p.m.	Théâtre du Nouveau Monde 	John Scofield Meets Jim Hall 
John Scofield	Friday July 3, 1998 at 7:30 p.m.	Théâtre du Nouveau Monde 	John Scofield  "A Go Go"
John Scofield	Saturday July 4, 1998 at 7:30 p.m.	Théâtre du Nouveau Monde 	John Scofield avec Dirty Dozen 
John Scofield	Sunday July 5, 1998 at 7:30 p.m.	Théâtre du Nouveau Monde 	John Scofield avec Toots Thielemans 
John Scofield	Wednesday July 8, 1998 at 7:30 p.m.	Théâtre du Nouveau Monde 	John Scofield "Quiet" with 9 musicians on stage
John Scofield	Thursday July 9, 1998 at 7:30 p.m.	Théâtre du Nouveau Monde 	John Scofield et Joe Lovano Group 
John Scofield	Monday July 5, 1999 at 7:30 p.m.	Monument national - Ludger Duvernay 	Joe Lovano with John Scofield, Dave Holland and Al Foster 
John Scofield	Friday June 29, 2001 at 9 p.m.	Métropolis	DJ Logic with Medeski, Martin &amp; Wood &amp; Metalwood
John Scofield	Friday June 29, 2001 at 9 p.m.	Métropolis	John Scofield 
John Scofield	Saturday June 30, 2001 at 8:30 p.m.	Spectrum de Montréal	John Scofield Bump
John Scofield	Sunday June 30, 2002 at 6 p.m.	Salle du Gésù	John Scofield Solo
John Scofield	Sunday June 30, 2002 at 9 p.m.	Spectrum de Montréal	John Scofield Band  "Überjam"
John Scofield	Thursday July 1, 2004 at 9:30 p.m.	Spectrum de Montréal	John Scofield Trio featuring Steve Swallow  and Bill Stewart
John Scofield	Thursday October 13, 2005 at 8 p.m.	Spectrum de Montréal	John Scofield, The music of Ray Charles
John Scofield	Thursday June 28, 2007 at 6 p.m.	Théâtre Maisonneuve - PdA	Trio Beyond, Jack Dejohnette, John Scofield, Larry Goldings
John Scofield	Saturday July 3, 2010 at 6 p.m.	Théâtre Maisonneuve - PdA	John Scofield &amp; The Piety Street Band 
John Stetch	Friday June 28, 1991 at 3 p.m.	Scène du Complexe Desjardins	John Stetch Sextet
John Stetch	Tuesday July 2, 1991 at 12 p.m.	Maison Alcan 	John Stetch Solo
John Stetch	Saturday July 4, 1992 at 4 p.m.	Scène Alcan	John Stetch Quartet
John Stetch	Saturday July 4, 1992 at 6 p.m.	Scène Alcan	
John Stetch	Monday July 6, 1992 at 12 p.m.	Maison Alcan 	John Stetch
John Stetch	Tuesday July 6, 1993 at 8 p.m.	Scène Diet Pepsi	John Stetch Quartet
John Stetch	Sunday July 2, 1995 at 8 p.m.	Scène Labatt Bleue Dry 	John Stetch Quartet
John Stetch	Friday July 10, 1998 at 6 p.m.	Scène du Maurier 	John Stetch Trio 
John Stetch	Saturday July 11, 1998 at 4:10 p.m.	Scène du Maurier 	John Stetch Trio - Le lauréat du prix de Jazz Du Maurier
John Stetch	Saturday July 10, 1999 at 7 p.m.	Théâtre du Gesù 	John Stetch Trio 
John Stetch	Saturday July 5, 2003 at 9:30 p.m.	Monument National	François Bourassa solo / John Stetch solo
John Stetch	Monday July 6, 2009 at 7 p.m.	Club Jazz TD Canada Trust 	John Stetch Trio
John Stetch	Monday July 6, 2009 at 9 p.m.	Club Jazz TD Canada Trust 	
John Stowell	Wednesday July 2, 2008 at 8 p.m.	Tente SIMM GM	John Stowell
John Surman	Thursday July 4, 1991 at 4:30 p.m.	Église St-Jean l'Évangéliste 	John Surman 
John Surman	Thursday July 4, 1991 at 11:30 p.m.	Église St-Jean l'Évangéliste 	
John Surman	Thursday July 2, 1992 at 5 p.m.	Cinquième Salle PDA/MACM	John Surman 
John Surman	Saturday July 4, 1992 at 10:30 p.m.	Cinquième Salle PDA/MACM	Paul Bley / John Surman / John Abercrombie
John Surman	Thursday June 27, 2002 at 10 p.m.	Salle du Gésù	Jack Dejohnette &amp; John Surman
John Surman	Friday July 2, 2010 at 8 p.m.	St-James United Church	John Surman baryton saxophone master with Howard Moody on church organ
John Surman	Thursday June 30, 2011 at 8 p.m.	Théâtre Jean-Duceppe - PdA 	Anouar Brahem <em>Thimar</em> with Dave Holland and John Surman
John Taylor	Friday June 29, 1990 at 10:30 p.m.	Théâtre du Nouveau Monde	Azimut avec Kenny Wheeler, Norma Winstone et John Taylor
John Taylor	Thursday July 6, 1995 at 6 p.m.	Théâtre Maisonneuve 	Peter Erskine Trio with John Taylor and Palle Danielsson / Charnett Moffett Trio
John Taylor	Saturday June 28, 2003 at 9:30 p.m.	Spectrum de Montréal	Kenny Wheeler and John Taylor
John Taylor	Tuesday July 6, 2004 at 7:30 p.m.	Monument National	Charlie Haden Duos with Egberto Gismonti and John Taylor
John Webber	Friday June 29, 2001 at 8:30 p.m.	Spectrum de Montréal	Johnny Griffin Quartet
John Zorn	Friday June 27, 1997 at 11 p.m.	Théâtre Maisonneuve - PdA	John Zorn, Masada
John Zorn	Wednesday July 8, 1998 at 6 p.m.	Théâtre Maisonneuve - PdA	Painkiller with John Zorn, Bill Laswell and Mick Harris 
John Zorn	Friday July 7, 2000 at 6 p.m.	Théâtre Maisonneuve - PdA	John Zorn "Masada"
John Zorn	Thursday June 29, 2006 at 6 p.m.	Théâtre Maisonneuve - PdA	John Zorn Acoustic Masada
John Zorn	Thursday July 1, 2010 at 6 p.m.	Théâtre Maisonneuve - PdA	John Zorn’s <i>Masada Marathon</i> special evening with with Jamie Saft, Erik Friedlander, Joey Baron Greg Cohen, Marc Ribot, Cyro Baptista and many more
John Zorn	Thursday July 1, 2010 at 9:30 p.m.	Théâtre Maisonneuve - PdA	Special evening with John Zorn's <i>Masada Marathon</i> with Uri Caine, Mark Feldman, Marc Ribot, Cyro Baptista, Dave Douglas and many more
John Zorn	Friday July 2, 2010 at 7:30 p.m.	Salle Wilfrid-Pelletier - PdA 	Laurie Anderson, Lou Reed and John Zorn 
Johnnie Johnson	Friday July 6, 1990 at 10:30 p.m.	Scène du Complexe Desjardins	Johnnie Johnson Trio
Johnny A.	Saturday July 6, 2002 at 6:30 p.m.	Carrefour General Motors	Johnny A.
Johnny Blue Band	Sunday July 6, 1997 at 9 p.m.	Scène Labatt Blues	Johnny Blue Band et Marjo 
Johnny Blue Band	Sunday July 6, 1997 at 11:59 p.m.	Spectrum de Montréal	
Johnny Blue Band	Monday July 5, 1999 at 7 p.m.	Scène Labatt Blues 	Johnny Blue Band et Marjo 
Johnny Blue Band	Monday July 5, 1999 at 11 p.m.	Scène Labatt Blues 	
Johnny Clegg	Tuesday July 5, 1988 at 9:30 p.m.	Scène du Complexe Desjardins	Événement Spécial Alcan Johnny Clegg &amp; Savuka
Johnny Clegg	Wednesday June 30, 2004 at 9 p.m.	General Motors Stage	Les 10 ans de la fin de l'apartheid avec Johnny Clegg, Ladysmith Black Mambazo et Lorraine Klaasen
Johnny Clegg	Friday February 23, 2007 at 8 p.m.	Métropolis	Johnny Clegg
Johnny Clegg	Saturday April 9, 2011 at 8 p.m.	Métropolis	Johnny Clegg
Johnny Copeland	Friday July 6, 1984 at 11:30 p.m.	Spectrum de Montréal	James Cotton &amp; Johnny Copeland
Johnny Copeland	Sunday June 29, 1986 at 9 p.m.	Maisonneuve Stage	Johnny Copeland
Johnny Dread	Thursday June 28, 2001 at 8 p.m.	Du Maurier Stage	Johnny Dread
Johnny Dread	Thursday June 28, 2001 at 10 p.m.	Du Maurier Stage	
Johnny Dread	Friday June 29, 2001 at 8 p.m.	Du Maurier Stage	
Johnny Dread	Friday June 29, 2001 at 10 p.m.	Du Maurier Stage	
Johnny Favorite Swing Orchestra	Thursday July 8, 1999 at 10 p.m.	Scène Bleue Dry 	Johnny Favorite Swing Orchestra 
Johnny Frigo	Thursday July 4, 1996 at 6 p.m.	Théâtre Maisonneuve, PdA	John Pizzarelli Trio and the Big band
Johnny Griffin	Thursday July 2, 1987 at 11 p.m.	Théâtre St-Denis	Johnny Griffin Quartet
Johnny Griffin	Thursday July 8, 1993 at 6 p.m.	Théâtre Maisonneuve	Les chats du sax ténor Gato Barbieri et ses musiciens / Johnny Griffin et ses musiciens
Johnny Griffin	Friday June 29, 2001 at 8:30 p.m.	Spectrum de Montréal	Johnny Griffin Quartet
Johnny Jones &amp; The Groove Dudes	Thursday July 8, 2004 at 9 p.m.	Labatt Bleue Stage	Johnny Jones &amp; The Groove Dudes
Johnny Jones &amp; The Groove Dudes	Thursday July 8, 2004 at 11:59 p.m.	Spectrum de Montréal	
Johnny Winter	Sunday July 5, 1998 at 9 p.m.	Métropolis 	Johnny Winter \ Jimmie Vaughan 
Jolie Holland	Thursday July 7, 2005 at 7 p.m.	Club Soda	Jolie Holland
The Jolly Boys	Sunday July 7, 1991 at 7:30 p.m.	Scène Ultramar	The Jolly Boys
The Jolly Boys	Sunday July 7, 1991 at 9:30 p.m.	Théâtre du Nouveau Monde	
The Jolly Boys	Wednesday July 2, 2003 at 9 p.m.	General Motors Stage	The Jolly Boys
The Jolly Boys	Wednesday July 2, 2003 at 11 p.m.	General Motors Stage	
The Jolly Boys	Saturday June 25, 2011 at 7 p.m.	Club Soda	The Jolly Boys - Show canceled
Jon Ballantyne	Wednesday July 2, 1986 at 5 p.m.	Théâtre St-Denis II	Jon Ballantyne Trio
Jon Ballantyne	Sunday July 6, 1986 at 9 p.m.	Salle Wilfrid-Pelletier - PdA	Une soirée Montréal Tout-Étoiles avec Dizzy Gillespie
Jon Ballantyne	Friday June 26, 1987 at 8:30 p.m.	Scène Alcan	Jon Ballantyne Trio
Jon Ballantyne	Saturday June 27, 1987 at 9 p.m.	Salle Wildrid-Pelletier, Place des Arts	Dexter Gordon
Jon Ballantyne	Thursday July 6, 1989 at 8 p.m.	Amphithéâtre Canadien International	Jon Ballantyne  Trio
Jon Ballantyne	Friday July 6, 1990 at 8:30 p.m.	Théâtre Port-Royal 	Jon Ballantyne avec Joe Henderson au saxophone ténor
Jon Ballantyne	Sunday July 4, 1993 at 4 p.m.	Scène du Maurier Ltée	The Mike Allen Quartet
Jon Ballantyne	Thursday July 7, 1994 at 5 p.m.	Salle du Gesù	Jon Ballantyne Trio
Jon Ballantyne	Saturday July 3, 1999 at 7 p.m.	Théâtre du Gesù 	Jon Ballantyne Trio 
Jon Ballantyne	Friday July 1, 2005 at 7 p.m.	Club Jazz TD Canada Trust Stage	Jon Ballantyne Quartet
Jon Ballantyne	Friday July 1, 2005 at 10 p.m.	Club Jazz TD Canada Trust Stage	
Jon Christensen	Sunday July 2, 1989 at 8:30 p.m.	Spectrum de Montréal	Charles Lloyd Quartet with Bobo Stenson, Palle Danielsson and Jon Christensen
Jon Cleary and his Dirty Rice Revue	Sunday July 7, 1991 at 9:30 p.m.	Scène Labatt Blues	Jon Cleary and his Dirty Rice Revue
Jon Cleary and his Dirty Rice Revue	Sunday July 7, 1991 at 11:59 p.m.	Spectrum de Montréal	
Jon Day	Saturday June 25, 2011 at 8 p.m.	Musée d'art contemporain 	Jon Day
Jon Day	Sunday June 26, 2011 at 8 p.m.	Musée d'art contemporain 	
Jon Faddis	Wednesday July 3, 1991 at 10 p.m.	Théâtre du Nouveau Monde	Jon Faddis Quartet 
Jon Faddis	Thursday June 26, 1997 at 6 p.m.	Théâtre Maisonneuve - PdA	Jon Faddis, Slide Hampton, Jimmy Heat
Jon Faddis	Monday July 3, 2000 at 6 p.m.	Théâtre Maisonneuve - PdA	Celebrating Louis Armstrong, The Trumpet Summit
Jon Gearey	Friday June 28, 2002 at 12 p.m.	Place du Complexe Desjardins	Montreal Guitar Collective
Jon Gearey	Friday July 4, 2008 at 6 p.m.	Gesù — Centre de créativité	Trio Michel Donato with Marin Nasturica and Jon Gearey
Jon Hassell	Saturday July 6, 2002 at 10 p.m.	Salle du Gésù	Jon Hassell
Jon Hassell	Sunday July 7, 2002 at 10 p.m.	Salle du Gésù	
Jon Hassell	Sunday July 4, 2004 at 9:30 p.m.	Spectrum de Montréal	T3+ Force Majeure - Jon Hassell, Paolo Fresu, Erik Truffaz with DJ Stratum and guests
Jon Hendricks	Saturday June 29, 1985 at 7:30 p.m.	Spectrum de Montréal	Jon Hendricks &amp; Co.
Jon Hendricks	Friday June 28, 1991 at 6 p.m.	Théâtre Maisonneuve	Jon Hendricks &amp; Compagny
Jon McCaslin	Friday June 27, 2003 at 6 p.m.	General Motors Stage	Jon McCaslin
Jon Paris	Friday June 30, 2000 at 9 p.m.	Labatt Blues Stage	Jon Paris 
Jon Paris	Friday June 30, 2000 at 11:59 p.m.	Labatt Blues Stage	
Jon Paris	Friday July 2, 2004 at 9 p.m.	Labatt Bleue Stage	Jon Paris
Jon Paris	Friday July 2, 2004 at 11:59 p.m.	Spectrum de Montréal	
Jon Spencer	Wednesday June 30, 2004 at 9 p.m.	Métropolis	Jon Spencer Blues Explosion
Jonas	Wednesday July 5, 2000 at 7 p.m.	Labatt Blues Stage	Jonas and the Blues Blooded 
Jonas	Wednesday July 5, 2000 at 11 p.m.	Labatt Blues Stage	
Jonas	Saturday July 7, 2001 at 7 p.m.	Labatt Blues Stage	Jonas and the Blues Blooded
Jonas	Saturday July 7, 2001 at 11 p.m.	Labatt Blues Stage	
Jonas	Friday July 2, 2004 at 7 p.m.	Labatt Bleue Stage	Jonas 
Jonas	Friday July 2, 2004 at 11 p.m.	Labatt Bleue Stage	
Jonas	Friday July 3, 2009 at 9 p.m.	Scène Loto-Québec 	Jonas - Back to blues
Jonas	Friday July 3, 2009 at 11:59 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Jonas Johansen	Thursday July 7, 2005 at 10:30 p.m.	Salle du Gésù	Steve Swallow, Hans Ulrik, Jonas Johansen "Tin Pan Aliens"
Jonny Henderson	Thursday July 5, 2007 at 9 p.m.	Scène Loto-Québec	Matt Schofield Trio
Jonny Henderson	Thursday July 5, 2007 at 11 p.m.	Scène Loto-Québec	
Joost Buis - Astronotes	Thursday June 29, 2006 at 9 p.m.	Musée d'Art Contemporain de Montréal - Beverley-Rolph-Webster	Joost Buis - Astronotes
Jorane	Thursday June 27, 2002 at 6 p.m.	Spectrum de Montréal	Jorane
Jorane	Saturday June 28, 2003 at 8:30 p.m.	Salle Wilfrid Pelletier - PdA	Bobby McFerrin with special guests
Jorane	Sunday July 11, 2004 at 9 p.m.	General Motors Stage	Soleil de minuit
Jordan Officer	Friday July 3, 1998 at 10 p.m.	Terrasse Nescafé 	Susie Arioli Swing Band
Jordan Officer	Saturday July 10, 1999 at 10 p.m.	Scène Air Transat  - Radio-Canada 	Susie Arioli Swing Band 
Jordan Officer	Thursday July 1, 2004 at 9 p.m.	General Motors Stage	Susie Arioli 
Jordan Officer	Thursday July 1, 2004 at 11 p.m.	General Motors Stage	
Jordan Officer	Wednesday July 6, 2005 at 8 p.m.	Cabaret Music-Hall	Susie Arioli Band featuring Jordan Officer
Jordan Officer	Thursday July 7, 2005 at 8 p.m.	Cabaret Music-Hall	
Jordan Officer	Thursday June 29, 2006 at 10 p.m.	Spectrum de Montréal	Susie Arioli 
Jordan Officer	Sunday July 1, 2007 at 7 p.m.	Savoy du Métropolis	Jordan Officer
Jordan Officer	Monday July 2, 2007 at 7 p.m.	Savoy du Métropolis	
Jordan Officer	Thursday June 26, 2008 at 10 p.m.	Cinquième Salle - PdA	Jordan Officer
Jordan Officer	Friday July 3, 2009 at 7 p.m.	Savoy du Métropolis	Jordan Officer
Jordan Officer	Saturday July 4, 2009 at 6 p.m.	Théâtre Maisonneuve - PdA 	Susie Arioli
Jordan Officer	Saturday July 4, 2009 at 8:30 p.m.	Savoy du Métropolis	Jordan Officer
Jordan Officer	Sunday July 5, 2009 at 7 p.m.	Savoy du Métropolis	
Jordan Officer	Thursday November 12, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Susie Arioli
Jordan Officer	Friday November 13, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Jordan Officer	Saturday May 22, 2010 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	The Stephen Barry Band, <i>35th Anniversary Concert </i>with special guests Susie Arioli and Jordan
Jordan Officer	Tuesday July 6, 2010 at 6 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	Jordan Officer
Jordan Officer	Thursday November 18, 2010 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan) 	
Jordan Officer	Thursday March 10, 2011 at 8 p.m.	Longueuil – Théâtre de la Ville, Salle Pratt &amp; Whitney Canada	Jordan Officer and Stacey Kent
Jordan Officer	Friday March 11, 2011 at 8 p.m.	L'Astral  (Maison du Festival Rio Tinto Alcan)	
